Date,Subs
10/15/2013,14461817
10/16/2013,14496105
10/17/2013,14531163
10/18/2013,14569293
10/19/2013,14602319
10/20/2013,14647630
10/21/2013,14679458
10/22/2013,14709116
10/23/2013,14740893
10/24/2013,14772467
10/25/2013,14801924
10/26/2013,14834859
10/27/2013,14869335
10/28/2013,14898022
10/29/2013,14927467
10/30/2013,14964638
10/31/2013,14996838
11/01/2013,15030095
11/02/2013,15074742
11/03/2013,15113557
11/04/2013,15145161
11/05/2013,15148957
11/06/2013,15268641
11/07/2013,15344436
11/08/2013,15419688
11/09/2013,15489185
11/10/2013,15560756
11/11/2013,15630682
11/12/2013,15708431
11/13/2013,15795868
11/14/2013,15861270
11/15/2013,15940013
11/16/2013,16016731
11/17/2013,16045861
11/18/2013,16125535
11/19/2013,16202331
11/20/2013,16202331
11/21/2013,16342877
11/22/2013,16342877
11/23/2013,16500161
11/24/2013,16500161
11/25/2013,16622641
11/26/2013,16725245
11/27/2013,16784591
11/28/2013,16837855
11/29/2013,16883092
11/30/2013,16963909
12/01/2013,17066539
12/02/2013,17116544
12/03/2013,17164759
12/04/2013,17229479
12/05/2013,17267274
12/06/2013,17336402
12/07/2013,17437710
12/08/2013,17469320
12/09/2013,17553107
12/10/2013,17609974
12/11/2013,17686610
12/12/2013,17770738
12/13/2013,17834143
12/14/2013,17898431
12/15/2013,17970079
12/16/2013,18056749
12/17/2013,18111774
12/18/2013,18191005
12/19/2013,18244358
12/20/2013,18330102
12/21/2013,18416715
12/22/2013,18494328
12/23/2013,18577629
12/24/2013,18652818
12/25/2013,18753385
12/26/2013,18832505
12/27/2013,18927579
12/28/2013,19002552
12/29/2013,19085078
12/30/2013,19181355
12/31/2013,19253917
01/01/2014,19322790
01/02/2014,19409954
01/03/2014,19503517
01/04/2014,19578428
01/05/2014,19656356
01/06/2014,19751066
01/07/2014,19841751
01/08/2014,19918402
01/09/2014,20010912
01/10/2014,20080177
01/11/2014,20181340
01/12/2014,20271276
01/13/2014,20341564
01/14/2014,20427763
01/15/2014,20513261
01/16/2014,20592372
01/17/2014,20663463
01/18/2014,20746300
01/19/2014,20826666
01/20/2014,20903694
01/21/2014,20954357
01/22/2014,21031762
01/23/2014,21105672
01/24/2014,21177630
01/25/2014,21283581
01/26/2014,21362325
01/27/2014,21429573
01/28/2014,21515655
01/29/2014,21593243
01/30/2014,21654880
01/31/2014,21733827
02/01/2014,21811219
02/02/2014,21896940
02/03/2014,21997306
02/04/2014,22066912
02/05/2014,22155100
02/06/2014,22211800
02/07/2014,22292188
02/08/2014,22359371
02/09/2014,22460683
02/10/2014,22573205
02/11/2014,22651570
02/12/2014,22736076
02/13/2014,22736076
02/14/2014,22736076
02/15/2014,22736076
02/16/2014,22736076
02/17/2014,23121649
02/18/2014,23208581
02/19/2014,23278680
02/20/2014,23354811
02/21/2014,23438291
02/22/2014,23524387
02/23/2014,23618628
02/24/2014,23701121
02/25/2014,23762040
02/26/2014,23835897
02/27/2014,23902192
02/28/2014,23977581
03/01/2014,24039784
03/02/2014,24112247
03/03/2014,24201996
03/04/2014,24225256
03/05/2014,24303072
03/06/2014,24402628
03/07/2014,24464275
03/08/2014,24572812
03/09/2014,24642861
03/10/2014,24719658
03/11/2014,24795890
03/12/2014,24865356
03/13/2014,24942374
03/14/2014,24969487
03/15/2014,25001459
03/16/2014,25036050
03/17/2014,25064782
03/18/2014,25097373
03/19/2014,25122322
03/20/2014,25154907
03/21/2014,25184713
03/22/2014,25223169
03/23/2014,25258248
03/24/2014,25284439
03/25/2014,25313854
03/26/2014,25344758
03/27/2014,25371286
03/28/2014,25399031
03/29/2014,25437579
03/30/2014,25476492
03/31/2014,25508769
04/01/2014,25536636
04/02/2014,25564897
04/03/2014,25592947
04/04/2014,25619841
04/05/2014,25657949
04/06/2014,25696785
04/07/2014,25726003
04/08/2014,25758010
04/09/2014,25783773
04/10/2014,25817928
04/11/2014,25843510
04/12/2014,25876543
04/13/2014,25912339
04/14/2014,25940567
04/15/2014,25972029
04/16/2014,26003536
04/17/2014,26033587
04/18/2014,26062360
04/19/2014,26094007
04/20/2014,26124233
04/21/2014,26149833
04/22/2014,26179208
04/23/2014,26202706
04/24/2014,26229190
04/25/2014,26254554
04/26/2014,26284970
04/27/2014,26319980
04/28/2014,26345071
04/29/2014,26373861
04/30/2014,26398465
05/01/2014,26422321
05/02/2014,26446112
05/03/2014,26476186
05/04/2014,26507364
05/05/2014,26531364
05/06/2014,26552458
05/07/2014,26575718
05/08/2014,26597669
05/09/2014,26626084
05/10/2014,26659604
05/11/2014,26667691
05/12/2014,26721768
05/13/2014,26721768
05/14/2014,26789291
05/15/2014,26805907
05/16/2014,26845566
05/17/2014,26875127
05/18/2014,26908188
05/19/2014,26938968
05/20/2014,26968704
05/21/2014,26993702
05/22/2014,27018695
05/23/2014,27045987
05/24/2014,27075582
05/25/2014,27104643
05/26/2014,27134560
05/27/2014,27160672
05/28/2014,27189904
05/29/2014,27221098
05/30/2014,27250040
05/31/2014,27283686
06/01/2014,27318061
06/02/2014,27348047
06/03/2014,27376952
06/04/2014,27403724
06/05/2014,27436212
06/06/2014,27465475
06/07/2014,27496573
06/08/2014,27532278
